name,ean,category,subcategory,price_gross,price_net,price_tax
Bakkerij Wim Half tarwe bus gesneden,,Bakkerij,Brood,1.39,1.28,0.11
Bakkerij Wim Half vloertijger wit gesneden,,Bakkerij,Brood,1.49,1.37,0.12
Bakkerij Wim Half volkoren bus gesneden,,Bakkerij,Brood,1.39,1.28,0.11
Bakkerij Wim Rozijnenbol per 6 stuks,,Bakkerij,Broodjes,2.89,2.65,0.24
Bakkerij Wim tarwe per 6 stuks,,Bakkerij,Broodjes,1.99,1.83,0.16
Bakkernij Roomboter Stroopwafels 372g,8710565006073,Snoep & Chips,Koekjes,2.49,2.28,0.21
Bakpapier 8 meter,8711128013194,Huishouden,Keuken,0.69,0.63,0.06
Dr. Oetker Baksoda 5 st 25g,8710466228529,Bakken,Bak- & Kookingrediënten,0.89,0.82,0.07
Balsamico Azijn Crème 500ml,4337182071136,"Olie, Sauzen & Specerijen",Olie & Azijn,2.99,2.74,0.25
Villa Grimelli Balsamico Azijn Gold 250ml,8032754435519,"Olie, Sauzen & Specerijen",Olie & Azijn,5.99,5.5,0.49
Monini Balsamico Azijn van Modena 250ml,80508939,"Olie, Sauzen & Specerijen",Olie & Azijn,2.79,2.56,0.23
Mazzetti L'Originale Balsamico Azijn Wit 250ml,8006050099102,"Olie, Sauzen & Specerijen",Olie & Azijn,2.59,2.38,0.21
Mazzetti L'Originale Balsamico Cremoso Azijn 215g,8006050099294,"Olie, Sauzen & Specerijen",Olie & Azijn,3.99,3.66,0.33
Monini Balsamico Glaze 250ml,8005510004373,"Olie, Sauzen & Specerijen",Olie & Azijn,4.29,3.94,0.35
Maille Balsamico Wijnazijn 500ml,8712100441639,"Olie, Sauzen & Specerijen",Olie & Azijn,5.49,5.04,0.45
Bami-nasigroente 500gr,8718477043414,Fruit & Groente,Gesneden groenten,1.99,1.83,0.16
Nyan Swietie Banaan Chips lang 150g,8718247010288,Fruit & Groente,"Gedroogd fruit, noten",2.99,2.74,0.25
Banaan Premium Los 1st,2840050000005,Fruit & Groente,Vers fruit,0.35,0.32,0.03
Barilla Fusilli no. 98 500g (Italië),8076802085981,"Pasta, Rijst & Granen",Pasta,1.49,1.37,0.12
Barilla Maccheroni no. 44 500g (Italië),8076808050440,"Pasta, Rijst & Granen",Pasta,1.49,1.37,0.12
Barilla Pesto Rosso 200g (Italië),8076809523547,"Olie, Sauzen & Specerijen",Sauzen,2.79,2.56,0.23
Barilla Spaghetti no. 5 500g (Italië),8076800195057,"Pasta, Rijst & Granen",Pasta,1.49,1.37,0.12
Basilicum 70g,8718531900240,Fruit & Groente,Verse Kruiden,1.89,1.73,0.16
Maggi Basis voor Soep Kip 485ml,7613036951333,"Olie, Sauzen & Specerijen",Bouillion,1.99,1.83,0.16
Maggi Basis voor Soep Heldere Tomaat 485ml,7613036951319,"Olie, Sauzen & Specerijen",Bouillion,1.99,1.83,0.16
Bauer Houdbare Room Yoghurt 150g,4002334112523,Zuivel & Eieren,Kwark & Yoghurt,0.59,0.54,0.05
Bbrood Kaascroissant,,Bakkerij,Brood,1.99,1.83,0.16
Bbrood Meerzadenbrood 625g,,Bakkerij,Brood,4.19,3.84,0.35
Bbrood Roomboter Croissant,,Bakkerij,Brood,1.59,1.46,0.13
Bbrood Speltbrood Zonnepit 625g,,Bakkerij,Brood,4.99,4.58,0.41
Bbrood Spelt Puntje,,Bakkerij,Brood,1.09,1.0,0.09
Bbrood Stokbrood Wit,,Bakkerij,Brood,1.99,1.83,0.16
Bbrood Timmetje,,Bakkerij,Brood,1.65,1.51,0.14
Becel Light Voordeelpak 575g,8719200112223,Zuivel & Eieren,"Boter, Magarine",3.19,2.93,0.26
Beckers Party Mix XL 48 st 912g,8710555689071,Diepvries,Frites en snacks,6.99,6.41,0.58
Langnese Bee Easy Wilde Bloemenhoning 500g,4023300738202,Ontbijt,Zoet broodbeleg,3.99,3.66,0.33
Beemster Belegen 30+ plakken 150 gram,8712243042052,Kaas,Plakken kaas,2.19,2.01,0.18
Beemster Geitenkaas 50+ plakken 125g,8712243042021,Kaas,Plakken kaas,3.29,3.02,0.27
Beemster Voordeelverpakking Jong 48+ plakken 250g,8712243041901,Kaas,Plakken kaas,3.29,3.02,0.27
Ben & Jerry's Chunky Monkey 465ml,8711327372955,Diepvries,Sundaes,5.79,5.31,0.48
Ben & Jerry's Cookie Dough 465ml,8711327373105,Diepvries,Sundaes,5.79,5.31,0.48
Ben & Jerry's Cookies on Cookie Dough 465ml,8711327374904,Diepvries,Sundaes,5.99,5.5,0.49
Ben & Jerry's Karamel Sutra 465ml,8711327374171,Diepvries,Sundaes,5.79,5.31,0.48
Ben & Jerry's Netflix & Chilll'd 465ml,8711327386334,Diepvries,Sundaes,5.59,5.13,0.46
Ben & Jerry's Non-Dairy Peanut Butter & Cookies 465ml,8711327371811,Diepvries,Sundaes,5.99,5.5,0.49
Ben & Jerry's Strawberry Cheesecake 465ml,8711327374126,Diepvries,Sundaes,5.79,5.31,0.48
Ben & Jerry's Topped Salted Caramel Brownie 465ml,8711327370753,Diepvries,Sundaes,5.99,5.5,0.49
Blauwe Bessen 125g,8713893009488,Fruit & Groente,Vers fruit,2.39,2.19,0.2
Betadine Oplossing 100mg/ml 30ml,8712207037612,Drogisterij & Cosmetica,Gezondheid,5.49,5.04,0.45
Beter Leven Eieren 6st,,Zuivel & Eieren,Eieren,2.29,2.1,0.19
Bettine Geitenkaas Naturel 125g,8712023011056,Kaas,Mozzarella & Feta,1.89,1.73,0.16
Bicro Groentesoep Bio 400g,8710879003270,Maaltijden en Gemak,Soepen,2.49,2.28,0.21
Bicro Tomatensoep Bio 400g,8710879003294,Maaltijden en Gemak,Soepen,2.49,2.28,0.21
Bicro Tomatensoep 400g,8710879003256,Maaltijden en Gemak,Soepen,2.49,2.28,0.21
Bicro Zoete Aardappelen Soep Bio 400g,8710879003317,Maaltijden en Gemak,Soepen,2.49,2.28,0.21
Bieslook 70g,8718531900264,Fruit & Groente,Verse Kruiden,1.89,1.73,0.16
"Bifi Worst Original 22,5g",4251097411095,Slagerij,Vlees Snacks,0.79,0.72,0.07
Bifi Worst The Original Snack Pack 60g,4251097402581,Slagerij,Vlees Snacks,1.89,1.73,0.16
Aarts Bio abrikozen 370ml,8710277740487,Fruit & Groente,Fruit in blik,2.29,2.1,0.19
Bio Banaan Fair Trade 1st,677213219897,Fruit & Groente,Vers fruit,0.49,0.45,0.04
Fine Life Bio Broodje Noten 1st,2225910000003,Bakkerij,Broodjes,0.69,0.63,0.06
Fine Life Bio Brood Zonnebloem 600g,2225320000006,Bakkerij,Brood,2.89,2.65,0.24
Lassie Bio Bulgur 275g,8410830589255,"Pasta, Rijst & Granen",Granen,1.89,1.73,0.16
Citroen Bio 2St.,8435375000140,Fruit & Groente,Vers fruit,1.59,1.46,0.13
Aarts Bio Kersen 370ml,8710277741484,Fruit & Groente,Fruit in blik,2.19,2.01,0.18
Zonnatura Bio Lijnzaad Gebroken 400g,8710863801943,Ontbijt,Cornflakes & Granen,2.09,1.92,0.17
Servero Biologische Appelmoes original 560g,4008596123284,Fruit & Groente,Fruit in blik,1.79,1.64,0.15
Biologische Aubergine 1st,,Fruit & Groente,Verse Groenten,1.49,1.37,0.12
Biologische Cherry Tomaten 250g,,Fruit & Groente,Verse Groenten,1.49,1.37,0.12
Biologische Courgette Groen 1st,,Fruit & Groente,Verse Groenten,1.59,1.46,0.13
Biologische Eieren 10st,7141221613327,Zuivel & Eieren,Eieren,2.99,2.74,0.25
Biologische Knoflook 100g,8710624277888,Fruit & Groente,Verse Groenten,0.99,0.91,0.08
Biologische kruimige Aardappelen 2000g,8710624314774,Fruit & Groente,Verse Groenten,3.79,3.48,0.31
Biologische Trostomaten 500g,8710624334611,Fruit & Groente,Verse Groenten,2.79,2.56,0.23
Biologische Vastkokende Aardappelen 1000g,8710624311537,Fruit & Groente,Verse Groenten,2.99,2.74,0.25
Aarts Bio Peren 370ml,8710277743488,Fruit & Groente,Fruit in blik,1.99,1.83,0.16
Bio Today Ahornsiroop 250g,8718858937172,Bakken,Bak- & Kookingrediënten,5.49,5.04,0.45
Bio Today Geroosterde sesamolie 250g,8718858937424,"Olie, Sauzen & Specerijen",Olie & Azijn,4.49,4.12,0.37
Bio Waspeen Onbewerkt 500g,8715656000213,Fruit & Groente,Verse Groenten,1.39,1.28,0.11
Dr. Oetker Bistro Baguette Bolognese 2 st 250g,4001724420200,Maaltijden en Gemak,Diepvries Pizza,1.79,1.64,0.15
Bites We Love Crunchy Peas Seasalt & Black Pepper 100g,8711299015867,Snoep & Chips,Mueslirepen & gezonde snacks,1.99,1.83,0.16
Bites We Love Crunchy Peas Smoked Paprika 100g,,Snoep & Chips,Mueslirepen & gezonde snacks,1.99,1.83,0.16
Bites We Love Peas Sour Cream & Jalapeno 100g,8711299021875,Snoep & Chips,Mueslirepen & gezonde snacks,1.99,1.83,0.16
Smint Black Mint Sugarfree 2 st 70g,8723400807261,Snoep & Chips,Kauwgom & Mints,2.99,2.74,0.25
BloemCool Asian Vegan Salad With Suger Snaps And Edamame Beans 350g,8719992390083,Maaltijden en Gemak,Salades,5.69,5.22,0.47
"BloemCool Banana Bread With Raspberry, Chocolat & Pistachios 90g",8719992390892,Bakkerij,Broodjes,2.49,2.28,0.21
BloemCool Caesar Salad With Smoked Chicken and Croutons 350g,8719992390090,Maaltijden en Gemak,Salades,5.99,5.5,0.49
BloemCool Chiapudding With Raspberry 225g,8719992390212,Ontbijt,Snel & Gezond,2.99,2.74,0.25
BloemCool Choco Bread With Pecan Nuts 90g,,Bakkerij,Broodjes,2.49,2.28,0.21
BloemCool Greek Salad with Feta & Kalamata Olives 150g,8719992390014,Maaltijden en Gemak,Salades,2.99,2.74,0.25
BloemCool Greek Yoghurt With Blackberries And Granola 225g,8719992390243,Ontbijt,Snel & Gezond,2.99,2.74,0.25
"BloemCool Green Couscous Salad With Broccoli, Green Peas & Feta 150g",8719992390038,Maaltijden en Gemak,Salades,2.99,2.74,0.25
BloemCool Overnight Oats With Blueberries And Granola 225g,8719992390229,Ontbijt,Snel & Gezond,2.99,2.74,0.25
"BloemCool Pasta Pesto Salad With Roasted Tomatoes, Parmasan & Baby Spinach 300g",8720254084114,Maaltijden en Gemak,Maaltijden,6.99,6.41,0.58
BloemCool Quinoa Salad with Almonds & Edamame Beans 150g,8719992390045,Maaltijden en Gemak,Salades,2.99,2.74,0.25
"BloemCool Rustic Corn Sandwich BLTC (Bacon, Lettuce, Tomato And Cheese 175g)",8719992390380,Maaltijden en Gemak,Broodjes en Wraps,3.99,3.66,0.33
BloemCool Wrap Caeser Chicken 210g,8719992390311,Maaltijden en Gemak,Broodjes en Wraps,3.49,3.2,0.29
BloemCool Wrap Dahl Cocos Creme 200g,,Maaltijden en Gemak,Maaltijden,3.99,3.66,0.33
BloemCool Wrap Smoked chicken and cream cheese,8720254084053,Maaltijden en Gemak,Broodjes en Wraps,3.99,3.66,0.33
BloemCool Wrap Smoked Salmon And Cream Cheese 180g,8719992390304,Maaltijden en Gemak,Broodjes en Wraps,3.99,3.66,0.33
Bloemenhoning 350g,8719326437484,Ontbijt,Zoet broodbeleg,5.99,5.5,0.49
Bloemkool 1st,,Fruit & Groente,Verse Groenten,1.89,1.73,0.16
Blue Band Halvarine 500g,8719200054189,Zuivel & Eieren,"Boter, Magarine",1.99,1.83,0.16
Blue Band Iedere Dag Voordeelfles 750ml,8719200053915,Zuivel & Eieren,"Boter, Magarine",2.39,2.19,0.2
